ID	Barcode	Title	Authors	Condition	Section	Location	On Hand	Price	Cost	Cash	Credit	First In	Last In	Last Sold	User
"1611762049"	"9921795406"	"Danny the Champion of the World"	"Dahl, Roald; (Narrator) Peter Serafinowicz"	"New"	"AUDIOBOOKS"	" "	"1"	"$14.95"	"$0.00"	"$0.00"	"$0.00"	"10-25-2013"	"07-19-2014"	"06-12-2014"	"Unknown"
"1427229392"	"9921806602"	"The Good Boy"	"Schwegel, Theresa; (Narrator) Luke Daniels"	"New"	"AUDIOBOOKS"	" "	"2"	"$20.00"	"$4.00"	"$4.00"	"$0.00"	"10-25-2013"	"12-10-2013"	"11-23-2013"	"Unknown"
"1619696355"	"9921822160"	"Everybody's Brother"	"CeeLo Green; Big Gipp; David Wild"	"New"	"AUDIOBOOKS"	" "	"2"	"$15.00"	"$3.00"	"$3.00"	"$0.00"	"10-27-2013"	"11-10-2013"	"01-01-0001"	"Unknown"
"1478952318"	"9921822055"	"The October List"	"Deaver, Jeffery; (Narrator) January LaVoy"	"New"	"AUDIOBOOKS"	" "	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"10-27-2013"	"09-09-2014"	"11-04-2013"	"Unknown"
"1619695987"	"9921822039"	"Identical"	"Turow, Scott; (Narrator) Henry Leyva"	"New"	"AUDIOBOOKS"	" "	"1"	"$20.00"	"$0.00"	"$0.00"	"$0.00"	"10-27-2013"	"07-04-2014"	"02-08-2014"	"Unknown"
"1442364386"	"9921823485"	"Bellman & Black: A Ghost Story"	"Setterfield, Diane; (Narrator) Jack Davenport"	"New"	"AUDIOBOOKS"	" "	"2"	"$20.00"	"$0.00"	"$0.00"	"$0.00"	"10-28-2013"	"06-28-2014"	"02-06-2014"	"Unknown"
"0804191166"	"9921851926"	"The Circle"	"Eggers, Dave; (Narrator) Dion Graham"	"New"	"AUDIOBOOKS"	" "	"1"	"$22.50"	"$0.00"	"$0.00"	"$0.00"	"10-30-2013"	"08-30-2014"	"07-31-2014"	"Unknown"
"161969462X"	"9921851837"	"White Fire (Pendergast)"	"Preston, Douglas; Lincoln Child; (Narrator) Rene Auberjonois"	"New"	"AUDIOBOOKS"	" "	"1"	"$20.00"	"$0.25"	"$0.00"	"$0.00"	"10-30-2013"	"01-30-2014"	"03-17-2014"	"Unknown"
"0804127255"	"9921941100"	"The Twelve Tribes of Hattie"	"Mathis, Ayana; (Narrators) Adenrele Ojo, Bahni Turpin, Adam Lazarre-White"	"New"	"AUDIOBOOKS"	" "	"1"	"$20.00"	"$0.00"	"$0.00"	"$0.00"	"11-08-2013"	"08-19-2014"	"01-01-0001"	"Unknown"
"0804122342"	"992195301X"	"Family Tree, Book Two: The Long Way Home"	"Martin, Ann M.; (Narrarator) Kim Mai Guest"	"New"	"AUDIOBOOKS"	" "	"2"	"$15.00"	"$0.25"	"$0.00"	"$0.00"	"11-09-2013"	"12-03-2013"	"01-01-0001"	"Unknown"
"0804128170"	"992195296X"	"League of Denial: The NFL, Concussions and the Battle for Truth"	"Fainaru-Wada, Mark; Steve Fainaru; (Narrarator) David H. Lawrence XVII"	"New"	"AUDIOBOOKS"	" "	"2"	"$22.50"	"$0.25"	"$0.00"	"$0.00"	"11-09-2013"	"12-11-2013"	"11-24-2013"	"Unknown"
"080419081X"	"9921952889"	"The Paris Architect"	"Belfoure, Charles; (Narrarator) Mark Bramhall"	"New"	"AUDIOBOOKS"	" "	"1"	"$20.00"	"$0.25"	"$0.00"	"$0.00"	"11-09-2013"	"11-10-2013"	"01-24-2014"	"Unknown"
"0804123063"	"9921952617"	"The Sultan's Tigers"	"Lacey, Josh; (Narrarator) Robbie Daymond"	"New"	"AUDIOBOOKS"	" "	"2"	"$15.00"	"$0.25"	"$0.00"	"$0.00"	"11-09-2013"	"12-03-2013"	"01-01-0001"	"Unknown"
"080412339X"	"9921952609"	"The City of Death"	"Chadda, Sarwat; (Narrarator) Bruce Mann"	"New"	"AUDIOBOOKS"	" "	"2"	"$25.00"	"$0.25"	"$0.00"	"$0.00"	"11-09-2013"	"12-03-2013"	"01-01-0001"	"Unknown"
"0307967980"	"9921952439"	"Time After Time"	"Stone, Tamara Ireland; (Narrarator) Ryan Gesell"	"New"	"AUDIOBOOKS"	" "	"2"	"$22.00"	"$0.25"	"$0.00"	"$0.00"	"11-09-2013"	"11-14-2013"	"01-01-0001"	"Unknown"
"0804123675"	"9921952323"	"Loud Awake and Lost"	"Griffin, Adele; (Narrator) Abby Craden"	"New"	"AUDIOBOOKS"	" "	"2"	"$22.50"	"$0.25"	"$0.00"	"$0.00"	"11-09-2013"	"12-03-2013"	"01-01-0001"	"Unknown"
"1478927089"	"9921958364"	"Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10"	"Luttrell, Marcus; Patrick Robinson; (Narrator) Kevin T. Collins"	"New"	"AUDIOBOOKS"	" "	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"11-10-2013"	"06-25-2014"	"07-30-2014"	"Unknown"
"1611761581"	"992195816X"	"Theodore Boone: The Activist"	"Grisham, John; (Narrator) Richard Thomas"	"New"	"AUDIOBOOKS"	" "	"1"	"$9.95"	"$0.00"	"$0.00"	"$0.00"	"11-10-2013"	"08-02-2014"	"11-14-2013"	"Unknown"
"140137042X"	"9921958887"	"Deadly Heat (Nikki Heat)"	"Castle, Richard; (Narrator) Robert Petkoff"	"New"	"AUDIOBOOKS"	" "	"1"	"$17.00"	"$0.00"	"$0.00"	"$0.00"	"11-10-2013"	"07-04-2014"	"03-22-2014"	"Unknown"
"1611130344"	"9921958879"	"Cross My Heart (Alex Cross)"	"Patterson, James; (Narrator) Michael Boatman; (Narrator) Tom Wopat"	"New"	"AUDIOBOOKS"	" "	"2"	"$17.50"	"$0.00"	"$0.00"	"$0.00"	"11-10-2013"	"07-04-2014"	"02-10-2014"	"Unknown"
"144236906X"	"9921961551"	"Red Hill"	"McGuire, Jamie; (Narrators) Emma Galvin; Zachary Webber; January LaVoy"	"New"	"AUDIOBOOKS"	" "	"2"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"11-10-2013"	"04-18-2014"	"01-01-0001"	"Unknown"
"1478926848"	"9921962094"	"The Power of Right Believing: 7 Keys to Freedom from Fear, Guilt, and Addiction"	"Prince, Joseph; (Narrator) Jason Younger"	"New"	"AUDIOBOOKS"	" "	"1"	"$12.00"	"$0.00"	"$0.00"	"$0.00"	"11-10-2013"	"09-09-2014"	"07-29-2014"	"Unknown"
"161969218X"	"9921961985"	"Stella Bain"	"Shreve, Anita; (Narrator) Hope Davis"	"New"	"AUDIOBOOKS"	" "	"2"	"$15.00"	"$3.00"	"$3.00"	"$0.00"	"11-10-2013"	"12-16-2013"	"01-01-0001"	"Unknown"
"1478924764"	"9921962027"	"The Double (Spero Lucas)"	"Pelecanos, George P.; (Narrator) Dion Graham"	"New"	"AUDIOBOOKS"	" "	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"11-10-2013"	"07-01-2014"	"01-17-2014"	"Unknown"
"1478979526"	"9921973339"	"Robert Ludlum's (TM) The Bourne Retribution"	"Van Lustbader, Eric; (Narrator) Holter Graham"	"New"	"AUDIOBOOKS"	" "	"2"	"$17.50"	"$0.25"	"$0.00"	"$0.00"	"11-12-2013"	"01-01-2014"	"12-13-2013"	"Unknown"
"1478924950"	"9921973509"	"Cross My Heart (Alex Cross)"	"Patterson, James; (Reader) Michael Boatman; (Reader) Tom Wopat"	"New"	"AUDIOBOOKS"	" "	"1"	"$12.50"	"$0.25"	"$0.00"	"$0.00"	"11-12-2013"	"03-27-2014"	"05-05-2014"	"Unknown"
"1478925132"	"9921987119"	"SEAL Team Six: Hunt the Falcon (A Thomas Crocker Thriller)"	"Mann, Don; Ralph Pezzullo; (Narrator) Peter Ganim"	"New"	"AUDIOBOOKS"	" "	"1"	"$13.50"	"$2.70"	"$2.70"	"$0.00"	"11-13-2013"	"11-23-2013"	"01-29-2014"	"Unknown"
"1478925159"	"9921986716"	"I Even Funnier: A Middle School Story (I Funny)"	"Patterson, James; Chris Grabenstein; (Narrator) Frankie Seratch"	"New"	"AUDIOBOOKS"	" "	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"11-13-2013"	"09-09-2014"	"07-15-2014"	"Unknown"
"0804190313"	"9921987992"	"The Right Path: From Ike to Reagan, How Republicans Once Mastered Politics--and Can Again"	"Scarborough, Joe; (Narrator) George Newbern"	"New"	"AUDIOBOOKS"	" "	"2"	"$17.50"	"$0.25"	"$0.00"	"$0.00"	"11-13-2013"	"03-13-2014"	"12-11-2013"	"Unknown"
