ID	Barcode	Title	Authors	Publisher	Pub Date	Binding	Condition	Section	Location	Item Type Id	On Hand	Price	Cost	Cash	Credit	First In	Last In	Last Sold	Meta Tags	Keywords	User
"0823056538"	"9911620484"	"Watercolor Bright and Beautiful"	"Karwoski, Richard"	"WATSON-GUPTILL PUBLICATIONS"	"January 1988"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"2"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"12-05-2010"	"10-29-2014"	"05-28-2014"	""	""	"Unknown"
"0823038734"	"9911734226"	"Painting Watercolors from Photographs"	"Shook, Georg; Gary Witt"	"WATSON-GUPTILL PUBLICATIONS"	"June 1983"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$7.50"	"$0.00"	"$0.00"	"$0.00"	"12-14-2010"	"04-25-2014"	"11-04-2014"	""	""	"Unknown"
"0891344608"	"9915885601"	"Painting Outdoor Scenes in Watercolor"	"Kaiser, Richard K."	"North Light Books"	"March 1993"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"02-07-2012"	"05-21-2014"	"12-29-2013"	""	""	"Unknown"
"0789432919"	"9916459967"	"An Introduction to Watercolor (DK Art School)"	"Smith, Ray Campbell"	"DK ADULT"	"March 1998"	"PaperBack"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$6.00"	"$0.00"	"$0.00"	"$0.00"	"04-09-2012"	"10-03-2014"	"04-19-2012"	""	""	"Unknown"
"0823006735"	"9918226579"	"Watercolor Painting: A Comprehensive Approach to Mastering the Medium"	"Hoffmann, Tom"	"Watson-Guptill"	"December 2012"	"Oversized Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$21.00"	"$0.00"	"$0.00"	"$0.00"	"10-04-2012"	"08-11-2014"	"04-22-2014"	""	""	"Unknown"
"0823050572"	"991848408X"	"Tao of Watercolor: A Revolutionary Approach to the Practice of Painting"	"Carbonetti, Jeanne"	"WATSON-GUPTILL PUBLICATIONS"	"March 1998"	"PaperBack"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"2"	"$11.00"	"$0.00"	"$0.00"	"$0.00"	"11-07-2012"	"06-03-2014"	"01-14-2013"	""	""	"Unknown"
"0823056392"	"9918887702"	"The Watercolor Book: Materials and Techniques for Today's Artist"	"Dewey, David"	"Watson Guptill Publications"	"December 2000"	"Oversized Paper Back"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$17.50"	"$0.00"	"$0.00"	"$0.00"	"12-21-2012"	"10-03-2014"	"02-17-2014"	""	""	"Unknown"
"0823034240"	"9919485039"	"Outdoor Watercolor Workshop"	"Van Hasselt, Tony"	"WATSON-GUPTILL PUBLICATIONS"	"September 1982"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"02-27-2013"	"04-25-2014"	"04-05-2013"	""	""	"Unknown"
"0823008517"	"9919485284"	"Complete Guide to Watercolor Painting"	"Whitney, Edgar A."	"WATSON-GUPTILL PUBLICATIONS"	"January 1974"	"Oversized Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"02-27-2013"	"06-26-2014"	"07-14-2014"	""	""	"Unknown"
"1499348525"	"9919871494"	"Way of the Brush: Painting Techniques of China and Japan"	"Van Briessen, Fritz"	"Charles E. tuttle Company"	"1962"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$35.00"	"$0.00"	"$0.00"	"$0.00"	"04-06-2013"	"07-26-2014"	"09-23-2014"	""	""	"Unknown"
"0823022617"	"9920004197"	"Hilary Page's Guide to Watercolor Paints"	"Page, Hillary"	"WATSON-GUPTILL PUBLICATIONS"	"February 1997"	"PaperBack"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"04-20-2013"	"09-07-2014"	"01-15-2014"	""	""	"Unknown"
"0891341889"	"9920246891"	"Watercolor, You Can Do It!"	"Couch, Tony"	"North Light Books"	"March 1987"	"Oversized Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"05-14-2013"	"05-28-2014"	"06-05-2013"	""	""	"Unknown"
"0713713437"	"9920520519"	"How to Paint the Chinese Way"	"Long, Jean"	"Blandford Pr"	"June 1983"	"PaperBack"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$7.50"	"$1.05"	"$1.05"	"$0.00"	"06-12-2013"	"06-12-2013"	"01-01-0001"	""	""	"Unknown"
"0823056414"	"9920545147"	"Watercolor Book: Materials & Techniques for Today's Artist"	"Dewey, David"	"WATSON-GUPTILL PUBLICATIONS"	"July 1995"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$35.00"	"$0.00"	"$0.00"	"$0.00"	"06-15-2013"	"09-16-2014"	"07-03-2013"	""	""	"Unknown"
"0442110928"	"9920561312"	"Ways with Watercolor, Second Edition, Enlarged"	"Kautzky, Ted"	"Van Nostrand Reinhold Company"	"January 1963"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"06-17-2013"	"04-26-2014"	"03-27-2014"	""	""	"Unknown"
"1581808739"	"9920856037"	"A Celebration of Light: Painting the Textures of Light in Watercolor"	"Freeman, Jane"	"North Light Books"	"September 2007"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"07-17-2013"	"11-03-2014"	"04-05-2014"	""	""	"Unknown"
